food_id,food_name,arabic_name,category,cuisine,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,cholesterol_mg,vitamin_a_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_b12_mcg,zinc_mg,phosphorus_mg,water_g,is_vegan,is_vegetarian,is_halal,glycemic_index,meal_type,country
3197,Papaya (Raw),,Fruit,International,50,32.9,0.6,8.1,0.2,9.8,14.5,713,218,142,5.3,30,0,533,96.9,5.9,2.13,2.27,218,59.9,true,true,true,49,Lunch,Italy
3198,Peach (Spicy),,Fruit,International,50,29.1,0.5,7.2,0.2,11.0,18.8,597,620,327,3.6,203,0,276,47.7,2.9,0.46,1.07,477,53.6,true,true,true,60,Dinner,France
3199,Om Ali (Premium),,Egyptian,Egyptian,90,179.6,8.0,20.0,8.6,1.4,9.6,1,1088,328,8.6,53,171,790,23.2,4.3,2.28,0.99,478,92.8,false,false,true,77,Breakfast,Egypt
3200,Hawawshi (Boiled),,Egyptian,Egyptian,100,248.4,10.3,25.1,10.1,9.6,16.6,510,1150,420,2.5,87,69,1178,66.1,1.9,1.91,7.08,581,82.2,false,false,true,69,Dinner,Egypt
3201,Shrimp (With Rice),,Protein,International,80,179.5,21.1,0.9,7.3,10.3,3.2,1160,389,190,7.5,117,221,1392,67.7,0.2,7.21,1.75,453,51.9,false,false,true,68,Snack,USA
3202,Fig (Grilled),,Fruit,International,200,107.0,2.0,30.3,0.8,10.0,1.1,949,367,468,2.6,62,0,1117,86.6,0.7,4.03,4.05,245,79.0,true,true,true,35,Snack,USA
3203,Sardines (With Vegetables),,Protein,International,80,146.9,19.6,0.7,9.1,6.1,4.6,724,237,374,3.3,130,385,247,13.8,3.1,7.18,5.19,179,67.7,false,false,true,35,Lunch,India
3204,Corn (With Sauce),,Vegetable,International,100,37.2,2.0,6.2,0.3,0.1,2.8,838,536,414,6.8,84,0,1350,14.7,4.1,7.85,6.64,485,33.6,true,true,true,95,Breakfast,Italy
3205,Mozzarella (Organic),,Dairy,International,300,406.4,26.8,15.9,18.9,3.4,15.3,741,255,301,2.0,95,89,1295,7.2,11.5,0.44,1.8,303,48.1,false,true,true,69,Lunch,India
3206,Eggplant (Restaurant Style),,Vegetable,International,90,34.5,1.8,6.3,0.3,11.0,0.0,917,580,323,9.7,164,0,1201,45.8,4.5,2.46,2.17,247,71.9,true,true,true,65,Dinner,USA
3207,Cashews (Restaurant Style),,Nuts,International,200,1117.7,37.4,40.5,101.5,11.3,15.0,720,705,177,2.3,132,381,410,43.9,9.7,0.65,0.22,372,67.8,true,true,true,61,Lunch,Italy
3208,Pasta (Cooked),,Grains,International,100,184.9,6.0,35.2,2.2,10.3,5.7,1029,1152,278,8.4,213,0,266,74.3,1.0,3.48,4.95,486,84.3,true,true,true,45,Dinner,Mexico
3209,Kebab (Baked),,Egyptian,Egyptian,50,94.3,5.3,12.1,5.0,7.2,14.4,252,1088,105,9.0,115,59,231,136.3,7.6,5.71,5.74,188,62.8,false,false,true,71,Dinner,Egypt
3210,Bulgur (Low Fat),,Grains,International,75,122.4,4.2,23.8,1.4,1.6,10.4,12,804,55,3.6,198,0,995,102.9,5.4,4.6,6.16,681,77.9,true,true,true,58,Breakfast,Turkey
3211,Watermelon (Traditional),,Fruit,International,150,84.4,1.6,19.9,0.6,1.4,16.6,1159,552,494,7.3,134,0,157,139.9,6.6,1.37,4.31,395,52.6,true,true,true,87,Dinner,Turkey
3212,Feta (Homemade),,Dairy,International,80,92.1,7.1,5.3,4.4,8.6,14.8,650,63,86,2.8,232,373,548,125.9,1.6,4.63,6.74,346,39.7,false,true,true,85,Breakfast,Japan
3213,Spinach (Low Fat),,Vegetable,International,180,63.3,3.8,14.2,0.5,2.9,9.9,768,238,105,6.5,62,0,101,139.6,2.5,3.57,1.64,456,69.5,true,true,true,77,Snack,France
3214,Feta (Traditional),,Dairy,International,150,160.3,12.7,8.8,9.9,5.2,1.8,1084,1073,302,5.3,53,227,1463,14.7,3.5,2.74,6.87,545,41.4,false,true,true,93,Dinner,USA
3215,Quinoa (Premium),,Grains,International,120,233.8,6.4,38.1,2.4,6.1,1.9,687,711,173,8.6,198,0,112,142.6,0.4,1.34,1.73,489,83.1,true,true,true,24,Snack,Turkey
3216,Duck (Steamed),,Protein,International,75,137.5,20.4,0.6,7.7,2.6,11.0,171,776,458,1.1,173,23,344,38.5,9.9,7.6,1.09,189,33.2,false,false,true,52,Breakfast,Italy
3217,Chicken Thigh (High Protein),,Protein,International,200,358.8,42.0,1.9,20.7,4.8,2.7,712,832,109,8.9,115,214,987,6.4,11.4,3.93,4.65,469,45.2,false,false,true,72,Lunch,USA
3218,Fig (Steamed),,Fruit,International,300,172.0,3.0,46.0,1.2,11.4,0.8,475,493,344,9.4,25,0,432,16.5,3.6,3.46,3.74,648,77.8,true,true,true,71,Lunch,India
3219,Labneh (Roasted),,Dairy,International,80,108.9,6.5,4.6,5.0,5.1,3.0,323,757,431,8.5,192,156,516,44.7,3.9,2.47,1.68,296,22.6,false,true,true,66,Breakfast,Mexico
3220,Greek Yogurt (Steamed),,Dairy,International,50,56.2,4.4,3.1,3.0,0.6,12.1,48,127,401,3.6,72,65,516,50.3,4.5,3.08,5.25,534,67.4,false,true,true,70,Breakfast,France
3221,Oats (Restaurant Style),,Grains,International,120,208.0,6.8,38.9,2.6,6.0,0.1,600,176,320,1.5,144,0,286,67.6,5.7,2.98,4.44,274,77.0,true,true,true,23,Snack,USA
3222,Peanuts (Fried),,Nuts,International,90,497.7,20.0,16.9,40.5,3.2,0.3,1107,548,334,5.1,91,124,1169,30.8,6.8,5.43,3.05,428,75.6,true,true,true,54,Snack,USA
3223,Duck (Raw),,Protein,International,75,175.8,17.5,0.8,6.4,4.4,3.7,271,702,306,3.1,58,147,1485,54.4,1.0,3.63,6.14,243,20.4,false,false,true,53,Lunch,France
3224,Taameya (Organic),,Egyptian,Egyptian,120,242.4,13.5,27.2,12.2,1.9,10.1,512,1194,365,1.2,47,253,187,149.1,5.2,3.88,3.11,196,27.5,false,false,true,47,Snack,Egypt
3225,Quinoa (Steamed),,Grains,International,50,94.1,2.7,18.3,0.9,8.5,7.1,634,960,136,2.4,27,0,1253,70.3,3.5,2.81,2.73,183,47.6,true,true,true,27,Breakfast,Mexico
3226,Peanuts (Homemade),,Nuts,International,100,592.9,21.2,20.3,45.3,0.1,9.4,24,440,425,3.5,56,137,1248,24.7,2.1,5.97,0.23,635,89.1,true,true,true,49,Lunch,Italy
3227,Walnuts (Raw),,Nuts,International,90,588.8,20.7,18.1,42.8,8.3,10.4,799,597,161,7.6,12,90,351,51.4,9.4,1.11,4.82,621,65.3,true,true,true,36,Lunch,Turkey
3228,Shrimp (Low Fat),,Protein,International,300,662.3,78.4,3.0,32.9,5.8,4.8,1023,408,493,7.2,12,230,118,131.9,1.6,2.04,6.67,676,68.8,false,false,true,74,Lunch,France
3229,Hazelnuts (Fresh),,Nuts,International,250,1501.1,57.2,38.9,116.0,6.4,8.0,553,448,157,8.6,95,308,945,77.4,3.5,4.33,3.81,599,79.8,true,true,true,22,Snack,USA
3230,Mahshi (Roasted),,Egyptian,Egyptian,180,351.2,20.4,45.4,18.4,4.5,8.2,419,1104,300,4.4,165,257,1425,98.7,10.4,1.63,4.07,149,71.6,false,false,true,75,Snack,Egypt
3231,Lettuce (Homemade),,Vegetable,International,90,34.4,1.8,6.9,0.3,11.9,16.2,58,53,363,8.0,74,0,1173,44.1,9.7,1.19,5.34,150,86.4,true,true,true,56,Breakfast,India
3232,Pomegranate (Low Fat),,Fruit,International,250,131.7,2.2,32.5,1.0,9.3,10.8,325,749,57,4.5,11,0,101,36.9,0.2,4.03,3.22,421,80.4,true,true,true,36,Breakfast,Italy
3233,Eggplant (Cooked),,Vegetable,International,100,37.4,2.2,6.9,0.3,1.9,6.2,159,563,171,3.0,90,0,269,48.8,6.1,1.63,6.72,594,90.7,true,true,true,38,Dinner,USA
3234,Mozzarella (High Protein),,Dairy,International,100,109.3,8.1,6.1,5.4,8.1,2.9,1053,1062,377,8.3,73,360,1086,5.9,8.6,5.64,4.64,441,23.7,false,true,true,41,Snack,Mexico
3235,Alexandrian Liver (Grilled),,Egyptian,Egyptian,180,349.0,20.4,35.5,15.7,11.3,1.9,524,814,429,7.6,226,173,1441,55.8,11.1,4.97,2.39,175,27.7,false,false,true,68,Dinner,Egypt
3236,Corn (Spicy),,Vegetable,International,120,45.5,2.4,7.2,0.3,0.6,16.0,812,308,29,0.7,132,0,30,54.1,8.8,1.81,3.27,325,73.2,true,true,true,84,Dinner,USA
3237,Lettuce (Fresh),,Vegetable,International,300,109.1,6.3,23.2,0.9,1.6,12.3,937,1051,222,7.1,9,0,1354,56.0,8.1,6.03,7.47,553,32.1,true,true,true,24,Lunch,Japan
3238,Fig (High Protein),,Fruit,International,90,52.5,1.0,14.2,0.4,3.1,1.8,22,522,497,0.9,211,0,1033,45.2,8.1,3.17,2.05,328,52.3,true,true,true,64,Breakfast,Mexico
3239,Pasta (Traditional),,Grains,International,120,195.5,8.2,47.9,2.3,8.7,9.1,960,588,165,5.8,242,0,1396,71.8,2.2,3.0,1.59,113,65.8,true,true,true,35,Snack,Japan
3240,Milk (High Protein),,Dairy,International,90,95.6,7.2,5.5,6.0,1.6,15.4,453,368,132,7.6,92,53,321,149.4,5.5,5.84,6.16,90,74.6,false,true,true,28,Breakfast,France
3241,Sardines (Fried),,Protein,International,100,229.0,27.3,1.1,9.1,2.6,17.5,758,346,441,9.4,147,189,1422,78.5,2.4,4.01,6.12,157,39.6,false,false,true,58,Lunch,USA
3242,Brown Rice (Boiled),,Grains,International,100,183.6,5.2,31.3,2.0,10.2,18.3,517,983,196,4.6,83,0,479,53.0,0.4,1.83,5.66,117,54.6,true,true,true,45,Snack,Turkey
3243,Apple (Spicy),,Fruit,International,75,43.7,0.8,12.3,0.3,6.0,17.9,1141,1190,492,0.5,243,0,900,18.4,8.8,5.18,6.02,576,89.9,true,true,true,90,Snack,France
3244,Ful Medames (Grilled),,Egyptian,Egyptian,200,417.4,19.9,46.2,16.8,3.6,16.1,890,599,170,8.7,233,154,132,90.5,6.0,1.2,3.97,562,26.4,false,false,true,78,Dinner,Egypt
3245,Cottage Cheese (Premium),,Dairy,International,180,213.4,15.7,10.5,9.9,7.6,9.4,1094,382,6,4.7,106,255,1364,116.1,11.8,4.55,2.1,130,89.4,false,true,true,54,Dinner,Japan
3246,Duck (Premium),,Protein,International,80,172.5,19.1,0.8,7.6,0.7,2.9,246,353,288,7.2,125,382,321,102.8,10.9,1.09,3.17,249,52.4,false,false,true,83,Lunch,Turkey
3247,Om Ali (Low Fat),,Egyptian,Egyptian,50,103.0,5.0,10.7,4.4,6.6,5.6,994,995,355,6.8,192,298,1039,46.4,4.6,3.97,4.29,610,40.1,false,false,true,61,Snack,Egypt
3248,Feta (Boiled),,Dairy,International,250,260.8,21.9,15.7,14.4,0.1,3.2,1144,1145,137,0.6,101,222,88,35.4,1.9,4.03,4.56,114,91.0,false,true,true,55,Breakfast,Mexico
3249,Celery (Premium),,Vegetable,International,100,38.5,2.0,6.4,0.3,10.2,8.9,635,1059,10,1.1,197,0,1352,48.6,2.3,4.15,0.52,206,56.8,true,true,true,90,Snack,USA
3250,Cashews (Homemade),,Nuts,International,75,463.0,13.8,14.5,32.6,8.2,4.7,88,103,398,2.9,146,198,238,60.8,6.9,3.92,4.54,47,37.8,true,true,true,87,Dinner,India
3251,Plum (Traditional),,Fruit,International,300,192.1,3.2,49.2,1.4,11.8,2.5,823,793,294,5.0,107,0,568,144.4,7.6,7.21,3.96,587,80.5,true,true,true,66,Lunch,Italy
3252,Egg (With Rice),,Protein,International,90,184.0,21.6,1.0,8.9,4.3,7.8,227,100,277,7.9,144,211,289,107.8,2.9,7.33,4.97,269,38.6,false,true,true,45,Snack,Italy
3253,White Rice (With Vegetables),,Grains,International,150,276.2,9.0,49.5,3.3,9.0,15.9,1139,623,476,7.6,190,0,742,49.7,8.8,0.32,2.56,219,73.9,true,true,true,89,Lunch,Mexico
3254,Mahshi (With Rice),,Egyptian,Egyptian,100,218.1,10.4,21.6,9.0,0.2,3.0,729,1034,348,4.0,189,388,1423,102.8,1.1,4.54,5.83,376,78.3,false,false,true,87,Snack,Egypt
3255,Brown Rice (Restaurant Style),,Grains,International,75,127.3,4.1,25.1,1.6,11.4,12.9,675,209,402,9.1,91,0,471,133.0,2.7,4.56,5.93,103,36.2,true,true,true,61,Dinner,Mexico
3256,Feta (Homemade),,Dairy,International,150,182.6,10.6,9.1,9.0,11.1,10.3,1182,917,440,1.1,134,332,315,41.6,7.8,2.52,4.82,539,93.2,false,true,true,43,Lunch,Mexico
3257,Salmon (Organic),,Protein,International,250,542.8,55.0,2.4,27.6,2.9,14.5,981,422,450,4.4,52,291,74,61.5,3.3,2.24,5.7,366,75.0,false,false,true,26,Breakfast,France
3258,Melon (Spicy),,Fruit,International,90,59.1,0.8,14.0,0.4,8.2,10.9,1003,817,118,6.1,180,0,8,143.3,8.4,7.28,0.98,283,44.4,true,true,true,63,Snack,Japan
3259,Egyptian Lentil Soup (Traditional),,Egyptian,Egyptian,250,476.5,22.8,56.4,23.8,6.0,7.9,747,909,447,7.4,235,262,1229,62.5,3.1,7.05,1.42,189,76.1,false,false,true,77,Snack,Egypt
3260,Brown Rice (Traditional),,Grains,International,80,136.6,5.2,24.9,1.4,0.1,18.3,713,694,464,3.8,67,0,188,56.1,5.3,1.27,0.1,517,30.9,true,true,true,63,Snack,Mexico
3261,White Rice (Baked),,Grains,International,75,131.9,5.1,25.4,1.7,11.7,12.2,126,460,467,3.0,221,0,876,143.0,5.5,0.3,5.64,329,92.7,true,true,true,32,Dinner,USA
3262,Cashews (Baked),,Nuts,International,120,755.1,27.5,23.3,52.4,3.5,12.0,944,694,105,1.9,183,336,1413,8.7,0.8,0.93,1.68,660,51.5,true,true,true,68,Breakfast,Italy
3263,Tilapia (Raw),,Protein,International,250,569.4,53.4,2.7,22.7,10.1,8.7,1105,117,484,4.1,180,341,1435,45.3,8.8,2.51,2.89,596,72.1,false,false,true,61,Lunch,Italy
3264,Peas (Homemade),,Vegetable,International,90,29.9,2.1,7.2,0.3,2.2,17.1,299,905,156,1.1,189,0,768,129.6,6.4,7.26,1.11,622,74.8,true,true,true,93,Lunch,India
3265,Cashews (Fresh),,Nuts,International,180,1160.7,33.1,29.7,90.4,9.5,12.6,76,259,372,4.6,83,359,893,35.9,5.0,0.28,5.32,582,73.6,true,true,true,24,Snack,USA
3266,Ful Medames (Grilled),,Egyptian,Egyptian,200,498.6,19.9,49.7,18.5,0.7,10.0,1134,93,271,5.3,238,194,137,119.4,7.0,2.77,7.5,228,54.5,false,false,true,83,Breakfast,Egypt
3267,White Rice (Premium),,Grains,International,300,504.9,17.5,105.1,5.7,3.2,2.9,608,69,456,5.7,242,0,975,136.4,5.4,6.05,7.71,321,68.1,true,true,true,77,Snack,Italy
3268,Apple (Raw),,Fruit,International,250,132.5,2.4,39.9,0.9,5.9,3.2,1186,973,460,2.3,182,0,155,44.5,1.2,4.18,3.48,536,21.4,true,true,true,42,Lunch,Italy
3269,Feta (Low Fat),,Dairy,International,200,264.8,14.2,10.5,10.6,5.8,3.4,82,556,281,9.8,144,240,834,82.3,5.9,0.73,5.96,351,45.0,false,true,true,43,Lunch,Mexico
3270,Mozzarella (Steamed),,Dairy,International,250,281.4,20.8,15.3,15.3,0.1,7.1,244,878,256,6.6,45,22,242,123.3,6.0,5.25,1.5,106,35.5,false,true,true,31,Dinner,Italy
3271,Lamb (Roasted),,Protein,International,75,177.1,17.1,0.7,7.5,11.1,9.4,539,882,273,2.2,122,381,570,95.5,2.3,6.2,8.0,624,23.1,false,false,true,92,Breakfast,France
3272,Lemon (With Vegetables),,Fruit,International,90,61.3,0.9,14.6,0.3,9.6,15.6,325,901,208,2.3,22,0,855,72.0,1.6,2.32,5.62,688,80.2,true,true,true,27,Lunch,India
3273,Taameya (Traditional),,Egyptian,Egyptian,50,110.7,4.9,9.4,4.5,9.7,15.4,864,149,479,6.5,221,75,50,118.5,5.0,4.99,0.26,22,28.5,false,false,true,27,Dinner,Egypt
3274,Shrimp (Fresh),,Protein,International,180,417.7,38.8,2.1,17.1,3.4,4.7,287,487,467,2.1,16,26,654,50.4,2.2,2.49,2.91,324,54.1,false,false,true,37,Snack,Mexico
3275,Greek Yogurt (Cooked),,Dairy,International,90,99.3,7.8,4.8,5.7,5.9,10.8,1079,203,101,7.9,90,228,888,37.9,4.4,6.74,5.79,156,81.5,false,true,true,84,Lunch,USA
3276,Tomato (Fresh),,Vegetable,International,150,54.2,2.9,9.6,0.5,11.1,13.7,1146,360,71,3.7,104,0,996,90.0,4.1,0.15,2.0,34,65.3,true,true,true,28,Snack,Italy
3277,Peanuts (Baked),,Nuts,International,150,842.3,26.7,24.4,76.7,7.9,10.0,182,870,204,9.7,207,123,1329,106.0,8.7,3.24,5.59,563,42.1,true,true,true,46,Breakfast,Japan
3278,Sardines (Organic),,Protein,International,80,151.4,19.0,0.9,8.8,10.0,12.8,34,1056,229,9.8,162,50,574,34.8,8.4,4.57,7.25,273,29.1,false,false,true,84,Dinner,France
3279,Feseekh (Cooked),,Egyptian,Egyptian,120,261.1,11.2,29.3,9.3,7.3,11.3,323,996,480,8.5,72,92,689,148.1,9.4,1.91,5.91,427,54.7,false,false,true,27,Snack,Egypt
3280,Dates (Raw),,Fruit,International,50,26.2,0.4,8.2,0.2,5.2,14.0,54,1035,238,7.6,37,0,687,130.9,2.2,4.09,6.98,691,29.3,true,true,true,34,Snack,Japan
3281,Pistachios (Restaurant Style),,Nuts,International,50,339.7,9.1,8.4,23.4,2.7,8.6,1177,1195,62,1.4,171,89,954,67.9,2.4,3.04,4.27,684,90.9,true,true,true,88,Dinner,Turkey
3282,Grapes (Boiled),,Fruit,International,150,87.0,1.4,19.7,0.6,11.2,7.0,181,1088,464,4.6,223,0,1195,111.8,1.6,4.35,0.3,160,34.0,true,true,true,67,Breakfast,Mexico
3283,Barley (Roasted),,Grains,International,100,205.5,6.3,39.4,1.7,5.8,14.4,930,581,433,9.0,232,0,769,111.4,1.3,5.65,4.62,608,77.3,true,true,true,82,Lunch,India
3284,Almonds (Steamed),,Nuts,International,50,298.4,8.6,9.1,26.7,6.3,9.8,954,394,365,9.5,246,395,1193,127.9,4.7,2.51,0.56,428,33.2,true,true,true,25,Lunch,USA
3285,Mahshi Warak Enab (Homemade),,Egyptian,Egyptian,250,611.8,28.5,53.9,24.9,3.7,7.3,811,1052,499,6.9,197,112,1462,48.1,2.3,2.49,5.45,372,54.9,false,false,true,21,Dinner,Egypt
3286,Oats (With Rice),,Grains,International,250,403.1,15.2,84.4,4.3,0.5,7.5,947,976,76,8.8,100,0,224,21.6,9.8,0.25,4.93,253,66.6,true,true,true,58,Dinner,Mexico
3287,Greek Yogurt (Homemade),,Dairy,International,80,85.8,6.6,4.7,4.1,4.2,3.0,301,833,328,5.7,35,157,45,149.5,3.3,2.27,4.98,311,76.1,false,true,true,42,Snack,USA
3288,Tuna (Low Fat),,Protein,International,75,167.7,20.1,0.8,7.2,11.2,5.5,954,413,235,5.3,153,222,374,92.1,3.7,1.28,6.66,592,48.3,false,false,true,32,Snack,USA
3289,Tomato (Grilled),,Vegetable,International,150,54.7,3.4,9.8,0.4,8.9,19.1,1034,427,191,5.0,108,0,872,29.1,8.1,6.42,4.41,667,23.0,true,true,true,41,Snack,Japan
3290,Watermelon (Restaurant Style),,Fruit,International,120,62.1,1.3,18.4,0.5,2.8,12.1,384,467,485,3.3,192,0,97,85.8,9.0,4.52,1.3,696,71.3,true,true,true,34,Lunch,Italy
3291,Taameya (Organic),,Egyptian,Egyptian,80,165.3,7.0,16.5,7.8,8.2,6.1,933,932,420,7.4,97,391,753,7.1,4.7,1.79,0.57,358,24.1,false,false,true,64,Dinner,Egypt
3292,Pepper (Boiled),,Vegetable,International,100,37.1,2.1,6.5,0.3,1.8,7.9,516,1195,448,9.0,196,0,495,93.5,11.1,0.44,4.12,561,69.3,true,true,true,93,Snack,Japan
3293,Roz Bel Laban (Restaurant Style),,Egyptian,Egyptian,90,169.5,7.9,18.7,8.7,9.6,13.1,767,1120,122,5.6,240,352,1492,27.9,4.5,2.76,4.13,151,33.0,false,false,true,61,Dinner,Egypt
3294,Whole Wheat Bread (Grilled),,Grains,International,250,395.6,16.7,83.4,5.0,10.7,5.3,279,901,454,3.4,169,0,1352,138.5,8.6,1.32,3.16,394,38.6,true,true,true,22,Snack,India
3295,Quinoa (Homemade),,Grains,International,200,349.0,12.6,74.7,3.4,5.5,18.3,639,565,128,5.4,26,0,419,126.7,6.0,1.57,2.49,345,68.0,true,true,true,71,Snack,France
3296,Almonds (Baked),,Nuts,International,150,1030.0,33.4,29.4,79.7,1.6,7.9,513,412,428,9.5,52,164,1142,139.8,3.3,3.62,6.2,616,38.4,true,true,true,55,Dinner,Turkey
3297,Watermelon (Organic),,Fruit,International,250,133.5,2.7,34.4,1.0,11.8,9.7,1192,798,325,0.5,152,0,1430,36.8,10.7,6.01,6.71,460,60.5,true,true,true,55,Lunch,Turkey
3298,Salmon (Fresh),,Protein,International,300,716.8,80.9,3.3,26.2,10.2,12.9,895,622,185,2.6,88,236,674,46.3,10.6,5.9,1.57,183,58.7,false,false,true,82,Lunch,India
3299,Mozzarella (Fresh),,Dairy,International,90,117.3,7.0,5.4,4.7,0.5,16.7,135,412,476,6.8,190,10,1328,53.8,4.2,2.08,1.65,602,39.6,false,true,true,77,Dinner,India
3300,Pistachios (Roasted),,Nuts,International,120,781.8,27.1,22.9,68.6,5.1,13.6,254,644,335,9.4,18,6,1412,84.4,3.5,4.33,1.65,517,68.4,true,true,true,54,Breakfast,France
3301,Besara (Baked),,Egyptian,Egyptian,180,383.4,17.8,39.3,15.6,10.1,5.8,267,753,59,5.0,152,312,1231,34.2,4.0,6.68,7.87,568,22.1,false,false,true,64,Snack,Egypt
3302,Melon (With Sauce),,Fruit,International,100,53.2,1.0,14.8,0.4,7.0,18.6,448,508,494,4.7,172,0,1362,4.3,4.9,2.13,4.71,319,91.7,true,true,true,90,Breakfast,USA
3303,Milk (Traditional),,Dairy,International,90,102.1,7.4,5.2,4.7,6.0,10.1,653,228,217,0.6,102,290,1289,36.0,2.4,4.03,0.81,602,45.8,false,true,true,63,Snack,Turkey
3304,Mango (With Vegetables),,Fruit,International,300,191.1,3.4,48.5,1.2,3.3,10.7,362,347,432,6.8,171,0,334,116.8,4.5,0.53,1.84,528,65.1,true,true,true,74,Breakfast,Mexico
3305,Stuffed Pigeon (Restaurant Style),,Egyptian,Egyptian,300,717.3,27.6,69.9,30.4,9.8,2.0,756,624,498,9.4,124,306,1094,32.9,10.3,6.49,0.17,638,77.8,false,false,true,25,Snack,Egypt
3306,Apple (Roasted),,Fruit,International,80,47.0,0.7,13.6,0.4,9.8,7.2,336,856,468,1.3,70,0,735,13.4,10.4,0.22,2.05,169,40.2,true,true,true,41,Dinner,India
3307,Mombar (Homemade),,Egyptian,Egyptian,100,233.0,11.1,25.3,7.8,3.4,14.6,807,862,242,3.5,173,108,1130,6.0,7.3,3.69,2.02,683,22.2,false,false,true,46,Lunch,Egypt
3308,Kiwi (With Sauce),,Fruit,International,300,191.2,3.1,42.1,1.0,0.4,18.9,668,808,437,4.0,204,0,1159,13.5,8.3,6.44,5.81,313,68.2,true,true,true,21,Breakfast,France
3309,Cashews (Spicy),,Nuts,International,200,1090.8,42.4,41.3,112.3,5.4,16.9,1192,270,443,3.7,108,363,1147,129.3,8.1,4.59,6.18,449,33.0,true,true,true,46,Snack,Japan
3310,Peanuts (With Sauce),,Nuts,International,250,1340.8,45.0,44.8,127.6,1.6,7.1,3,1042,479,6.4,116,333,110,84.9,5.9,3.81,7.68,263,58.6,true,true,true,55,Snack,Turkey
3311,Hazelnuts (Raw),,Nuts,International,250,1281.5,48.6,40.4,126.9,10.5,15.6,723,417,193,9.2,243,152,651,90.8,3.3,3.31,3.89,278,42.7,true,true,true,71,Breakfast,Turkey
3312,Turkey (High Protein),,Protein,International,250,587.3,52.3,2.5,24.9,4.6,17.8,57,1161,440,8.9,96,60,1233,136.1,10.4,3.17,3.92,472,50.3,false,false,true,53,Dinner,Italy
3313,Pasta (Fried),,Grains,International,75,120.7,4.4,26.6,1.6,8.4,7.9,1082,343,360,9.9,66,0,1299,147.0,4.7,1.09,0.68,544,21.1,true,true,true,28,Breakfast,USA
3314,Barley (Cooked),,Grains,International,200,347.6,11.3,70.0,3.6,10.7,10.3,103,760,239,2.9,54,0,886,75.4,4.8,3.21,5.75,329,53.6,true,true,true,88,Dinner,India
3315,Hazelnuts (Restaurant Style),,Nuts,International,50,334.4,11.1,9.8,27.2,11.6,9.9,558,1125,64,4.1,215,118,1435,109.2,11.8,1.0,6.63,546,30.5,true,true,true,70,Snack,Italy
3316,Papaya (With Sauce),,Fruit,International,150,80.8,1.3,20.0,0.6,6.9,1.1,803,300,11,6.0,215,0,636,35.6,4.3,5.08,5.63,590,93.7,true,true,true,38,Lunch,Japan
3317,Walnuts (Low Fat),,Nuts,International,50,307.7,11.3,9.3,27.3,5.3,12.4,714,389,190,4.6,145,379,665,80.1,5.8,4.94,5.46,196,78.0,true,true,true,87,Breakfast,India
3318,Egg (Cooked),,Protein,International,90,187.5,19.9,1.0,9.9,1.8,15.6,335,949,346,6.6,114,88,723,81.7,7.8,1.24,5.79,116,48.8,false,true,true,34,Lunch,France
3319,Ful Medames (Restaurant Style),,Egyptian,Egyptian,250,507.2,23.8,51.7,22.5,5.9,15.1,844,1003,276,1.0,234,338,628,112.1,11.3,2.11,6.39,288,33.5,false,false,true,53,Dinner,Egypt
3320,Labneh (High Protein),,Dairy,International,150,199.2,13.2,10.1,8.1,6.6,7.4,64,1075,127,0.3,160,294,1239,54.3,2.6,2.2,0.22,550,49.6,false,true,true,40,Dinner,Mexico
3321,Greek Yogurt (Roasted),,Dairy,International,75,90.3,5.8,4.4,4.5,4.8,8.5,1120,182,136,5.0,54,145,1349,86.9,8.6,3.54,6.56,208,69.4,false,true,true,44,Breakfast,France
3322,Kiwi (High Protein),,Fruit,International,80,48.5,0.8,13.2,0.3,5.0,4.0,1080,455,84,8.1,113,0,1480,119.9,4.5,6.62,3.64,272,83.2,true,true,true,79,Snack,USA
3323,Plum (Organic),,Fruit,International,150,90.9,1.5,20.2,0.7,4.7,15.3,764,638,22,9.2,63,0,924,21.3,0.9,3.66,0.2,672,89.1,true,true,true,70,Snack,Mexico
3324,Carrot (Boiled),,Vegetable,International,50,19.4,1.0,3.9,0.1,3.6,15.9,743,117,284,9.4,11,0,1001,97.5,5.1,6.57,0.94,228,69.3,true,true,true,79,Lunch,Japan
3325,Oats (Premium),,Grains,International,120,188.2,6.5,37.2,2.3,6.3,16.4,925,302,18,0.3,11,0,70,92.8,8.8,2.13,3.1,565,48.6,true,true,true,37,Lunch,Mexico
3326,Lime (Baked),,Fruit,International,200,135.5,2.0,27.1,0.7,7.3,15.6,797,976,375,3.8,46,0,359,80.1,8.1,2.8,7.67,326,90.0,true,true,true,48,Breakfast,India
3327,Celery (High Protein),,Vegetable,International,75,29.1,1.4,4.7,0.2,10.3,13.6,653,603,274,7.9,99,0,31,110.9,7.6,4.8,3.83,617,80.4,true,true,true,60,Snack,India
3328,Chicken Breast (Fresh),,Protein,International,90,200.4,20.6,1.0,8.4,11.3,3.7,602,983,84,1.1,8,307,364,98.2,10.1,1.51,5.4,258,92.1,false,false,true,73,Snack,Japan
